dataset,cv,k_label,k,dist,evaluator,n_folds,fold,accuracy,precision,recall,f1
dis,3,n,3339,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,3,n,3339,euclidean,averaged_inverse_square,10,0,0.5080645161290323,0.9893048128342246,0.505464480874317,0.6690777576853526
dis,3,n,3339,euclidean,averaged_inverse_square,10,1,0.5336927223719676,0.9948717948717949,0.5300546448087432,0.6916221033868094
dis,3,n,3339,euclidean,averaged_inverse_square,10,2,0.5390835579514824,0.9949238578680203,0.5355191256830601,0.6962699822380106
dis,3,n,3339,euclidean,averaged_inverse_square,10,3,0.5741239892183289,1.0,0.5671232876712329,0.7237762237762237
dis,3,n,3339,euclidean,averaged_inverse_square,10,4,0.5525606469002695,0.9950248756218906,0.547945205479452,0.7067137809187279
dis,3,n,3339,euclidean,averaged_inverse_square,10,5,0.5660377358490566,1.0,0.5589041095890411,0.7170474516695958
dis,3,n,3339,euclidean,averaged_inverse_square,10,6,0.5363881401617251,1.0,0.5287671232876713,0.6917562724014337
dis,3,n,3339,euclidean,averaged_inverse_square,10,7,0.5202156334231806,1.0,0.5123287671232877,0.677536231884058
dis,3,n,3339,euclidean,averaged_inverse_square,10,8,0.5741239892183289,1.0,0.5671232876712329,0.7237762237762237
dis,3,n,3339,euclidean,averaged_inverse_square,10,9,0.5956873315363881,1.0,0.589041095890411,0.7413793103448275
dis,4,5,5,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,4,5,5,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,4,5,5,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,4,5,5,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,5,5,euclidean,majority,10,4,0.9865229110512129,0.9864864864864865,1.0,0.9931972789115647
dis,4,5,5,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,5,5,euclidean,majority,10,6,0.9865229110512129,0.9864864864864865,1.0,0.9931972789115647
dis,4,5,5,euclidean,majority,10,7,0.9784366576819407,0.983739837398374,0.9945205479452055,0.9891008174386922
dis,4,5,5,euclidean,majority,10,8,0.9811320754716981,0.9837837837837838,0.9972602739726028,0.9904761904761905
dis,4,5,5,euclidean,majority,10,9,0.9811320754716981,0.9837837837837838,0.9972602739726028,0.9904761904761905
dis,4,sqrt(n),57,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,4,sqrt(n),57,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,4,sqrt(n),57,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,4,sqrt(n),57,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,sqrt(n),57,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,sqrt(n),57,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,sqrt(n),57,euclidean,majority,10,6,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,sqrt(n),57,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,sqrt(n),57,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,sqrt(n),57,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,n,3339,euclidean,majority,10,0,0.9838709677419355,0.9838709677419355,1.0,0.991869918699187
dis,4,n,3339,euclidean,majority,10,1,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,4,n,3339,euclidean,majority,10,2,0.9865229110512129,0.9865229110512129,1.0,0.9932157394843961
dis,4,n,3339,euclidean,majority,10,3,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,n,3339,euclidean,majority,10,4,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,n,3339,euclidean,majority,10,5,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,n,3339,euclidean,majority,10,6,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,n,3339,euclidean,majority,10,7,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,n,3339,euclidean,majority,10,8,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,n,3339,euclidean,majority,10,9,0.9838274932614556,0.9838274932614556,1.0,0.9918478260869567
dis,4,n,3339,euclidean,averaged_inverse_square,10,0,0.47580645161290325,0.9942196531791907,0.46994535519125685,0.6382189239332097
dis,4,n,3339,euclidean,averaged_inverse_square,10,1,0.5822102425876011,1.0,0.5765027322404371,0.731369150779896
dis,4,n,3339,euclidean,averaged_inverse_square,10,2,0.555256064690027,0.9950738916256158,0.5519125683060109,0.7100175746924429
dis,4,n,3339,euclidean,averaged_inverse_square,10,3,0.5498652291105122,0.995,0.5452054794520548,0.704424778761062
dis,4,n,3339,euclidean,averaged_inverse_square,10,4,0.5471698113207547,1.0,0.5397260273972603,0.701067615658363
dis,4,n,3339,euclidean,averaged_inverse_square,10,5,0.5040431266846361,1.0,0.4958904109589041,0.663003663003663
dis,4,n,3339,euclidean,averaged_inverse_square,10,6,0.5256064690026954,0.9896373056994818,0.5232876712328767,0.6845878136200716
dis,4,n,3339,euclidean,averaged_inverse_square,10,7,0.5822102425876011,1.0,0.5753424657534246,0.7304347826086955
dis,4,n,3339,euclidean,averaged_inverse_square,10,8,0.6064690026954178,1.0,0.6,0.7499999999999999
dis,4,n,3339,euclidean,averaged_inverse_square,10,9,0.5795148247978437,1.0,0.5726027397260274,0.7282229965156795
